Time;latency;stimulus;coordinates
21-03-24 12:56:25;1,854303;square;(1038.0, 575.0)
21-03-24 12:56:27;1,34802;square;(1034.0, 584.0)
21-03-24 12:56:28;0,4010229;square;(1034.0, 584.0)
21-03-24 12:56:29;0,3168688;square;(1034.0, 584.0)
21-03-24 12:56:31;0,273715;square;(1034.0, 584.0)
21-03-24 12:56:32;0,3022289;square;(1034.0, 584.0)
21-03-24 12:56:33;0,3092928;square;(1034.0, 584.0)
21-03-24 12:56:34;0,345192;square;(1034.0, 584.0)
21-03-24 12:56:35;0,3379946;square;(1034.0, 584.0)
21-03-24 12:56:54;17,84233;square;(1034.0, 584.0)
21-03-24 12:56:55;0,1109238;square;(1034.0, 584.0)
